item_id,translator,back_en,seconds,n_chunks,retry,len_ratio
US-00011,gpt-oss:120b,"A 45-year-old woman approached the clinic because of fatigue and irregular menstrual cycles for the past year. He also complained of recurrent sinus infections. In the last 6 months, he has experienced increased urination and swelling of the legs. Additionally, he has had difficulty lifting his 3-year-old niece for the past 3 weeks. He was recently diagnosed with depression. He worked as a medical assistant. The patient has smoked a half-pack of cigarettes every day for the past 25 years and drinks four beers on weekends. His only medication is escitalopram. He is 160 cm (5 ft 3 in) tall and weighs 79 kg (175 lb); BMI is 31 kg / m2. He looks tired. Its temperature is 37 ° C (98.6 ° F), pulse 80 / min, respiration 18 / min, and blood pressure 140/82 mmHg. Physical examination reveals an obese throat and a large belly. Skin examination shows multiple bluish spots on the arms and legs. There is general weakness and atrophy of the proximal muscles. The laboratory results show: Serum Sodium 150 milliequivalent / litre Potassium 3. 0 milliequivalent / litre Chloride 103 milliequivalent / litre Bicarbonate 30 milliequivalent / litre Urea nitrogen 19 mg / deciliter Creatinine 0.9 mg / deciliter Glucose 136 mg / dl In the 1 mg overnight dexamethasone suppression test, serum cortisol is 167 nanomoles / liter (normal < 50) and 24-hour urinary cortisol is 425 micrograms (normal < 300 micrograms). Serum ACTH is 169 picograms / milliliter (normal = 7-50). Later, high-dose dexamethasone suppression assays showed serum cortisol levels of 164 nanomoles / liter (normal < 50). Which of the following is the most likely underlying cause of the patient's symptoms?
A. Extrinsic corticosteroid intake
B. Pituitary adenoma
C. Adrenal carcinoma
D. Hypothyroidism
E. Pheochromocytoma
F. Small cell lung cancer
G. Adrenal adenoma",2.66,27,0,1.1
US-00012,gpt-oss:120b,"A 24-year-old primigravid female, at 38 weeks of gestation, visits the doctor for a gynecological visit. At the last two gynecological visits, transabdominal ultrasound showed the baby in the breech position. She has no medical issues and only takes pre-natal vitamins. His pulse is 95 / min, respiratory rate is 16 / min, and blood pressure is 130/76 mmHg. The abdomen is soft and insensitive; no contractions are felt. Pelvic examination shows closed cervical oesophagus and uterus consistent with 38 weeks gestation. Fetal rate tracing shows a baseline heart rate of 152 / min and 2 accelerations in 10 minutes. Today's repeat ultrasound showed a permanent breech position. The patient reported that she wanted to attempt vaginal delivery. Which of the following is the best next step in management?
A. Recommend a cesarean delivery
B. Monitor up to spontaneous labor
C. Repeat the ultrasound in a week.
D. Suggest an external cephalic version
E. Suggest an internal Podalic version",1.38,10,0,1.011
US-00013,gpt-oss:120b,"A 4-year-old boy was brought to the emergency department with a fever, painful swallowing, headache, and neck spasms that began shortly after waking. He had a sore throat last week that worsened sharply this morning. He has no history of serious illness and does not take any medication. She lives at home with her mother. His older brother has asthma. His vaccinations are up-to-date. He looks seriously ill. He has a temperature of 38.4 ° C (101.2 ° F), a pulse of 95 / min, a respiratory rate of 33 / min, and a blood pressure of 93/60 mmHg. On examination, redness is observed. The neck is stiff and the extension is limited. Breathing appears labored, with the use of supporting muscles. Inspiratory striders can be heard inhaled in the auditory cavity of the chest. Cardiac examination does not show any abnormalities. Oropharyngeal examination reveals a bubble in the posterior pharyngeal wall. Venous access is established and laboratory tests are ordered. Which of the following would be the best next step in the management of this patient?
A. Endotracheal intubation
B. Antibiotics in the vein
C. Blood Cultures
D. Corticosteroids in the veins
E. CT scan of the neck
F. nebulized albuterol
G. Lateral neck X-ray",1.99,16,0,1.069
US-00014,gpt-oss:120b,"An 8-year-old boy has been brought to the doctor because he has a 7-day history of a progressive cough. Coughing occurs as spells and consists of approximately 5-10 consecutive coughs. He takes deep, noisy breaths after each spell. Sometimes he vomits after a bout of coughing. He had a runny nose for a week before he started coughing. His vaccination record is not available. He lives in an apartment with his father, mother, and two-week-old younger sister. Mom got the Tdap vaccination 11 years ago. The father's vaccination record is not available. Its temperature is 37.8 ° C (100.0 ° F). The test shows no abnormalities. His leukocyte count is 42,000 / m3. Throat swab culture and PCR results are awaited. Which of the following would be the most appropriate recommendation for this family?
A. Give oral azithromycin to the child and the father, and give the father a TDAP vaccination.
B. Give oral erythromycin to the child and the father, and give the father a TDAP vaccination.
C. Give oral azithromycin to all family members and administer the Tdap vaccination to the father and mother.
D. Give oral trimethoprim-sulfamethoxazole to all family members and give the father a TDAP vaccination.
E. Give oral trimethoprim-sulfamethoxazole to all family members and administer TDAP vaccination to father and mother.
F. Give oral erythromycin to all family members and administer the Tdap vaccination to the father and mother.
G. Give oral erythromycin to all family members and administer the TDAP vaccination to the father.
H. Give oral trimethoprim-sulfamethoxazole to the father and child and give the father a TDAP vaccination.
I. Give oral azithromycin to all family members and administer the TDAP vaccination to the father.",1.74,14,0,1.023
US-00015,gpt-oss:120b,"Police brought a 23-year-old male to the emergency department for cognitive impairment and restlessness after he suffered a head injury at a local nightclub. The patient refuses to answer questions and is in a significantly unstable state. An alcoholic odor can be observed. His temperature is 36.9 ° C (98.4 ° F), pulse is 104 per minute, respiration is 24 per minute, and blood pressure is 148/95 mmHg. He is confused and only directed towards the person. Neurological tests show myosis and nystagmus but are quickly stopped after the patient tries to attack some of the care team members. A CT scan of the head shows no abnormalities. The intake of which of the following substances is likely to explain the symptoms in this patient?
A. Heroin
B. Alcohol
C. Marijuana
D. Cocaine
E. Gamma-hydroxybutyric acid
F. Lysergic acid diethylamide
G. Methamphetamine
H. Phencyclidine",1.39,8,0,1.029
US-00016,gpt-oss:120b,"A 34-year-old AIDS patient comes to the doctor because he has a two-day history of vision loss and black spots in his right eye. He does not feel any pain and has no symptoms in his left eye. He had received treatment with fluconazole for fungal esophagitis six months earlier. He was diagnosed with Kaposi's sarcoma two years ago. Current medications include efavirenz, tenofovir, emtricitabine, azithromycin, trimethoprim-sulfamethoxazole, multivitamins, and a nutritional supplement. He is 170 cm (5 ft 7 in) tall and weighs 45 kg (99 lb); BMI is 15.6 kg / m2. It has a temperature of 37 ° C (98.6 ° F), a pulse of 89 beats per minute, and a blood pressure 110/70 mmHg. Examination reveals cervical lymphadenopathy. Numerous purple plaques can be seen on its trunk and limbs. Fundoscopic examination reveals many areas of granular yellow-white opacities and dot-blot hemorrhages around the retinal blood vessels. His CD4 + T-lymphocyte count is 36 / mm3. Which of the following is the most likely diagnosis?
A. Sitomegalovirus retinitis
B. Herpes simplex keratitis
C. Toxoplasma retinitis
D. HIV retinopathy
E. Varicella zoster retinitis",1.56,12,0,1.036
US-00017,gpt-oss:120b,"A 65-year-old Asian woman visits the doctor for a routine health maintenance exam. When questioned, he has experienced occasional night sweats in the last 2 months. He had no fever or weight loss. 7 months ago, he had an acute myocardial infarction and received treatment with percutaneous coronary intervention. He has hypertension, hyperlipidemia, and gastroesophageal reflux disease. He smoked a pack of cigarettes every day and has done so for 37 years. Current medications include aspirin, atorvastatin, ramipril, metoprolol, and esomeprazole. He is 178 cm (5 ft 10 in) tall and weighs 89 kg (207 lb); BMI is 29.70 kg / m2. He has a temperature of 37.4 ° C (99.3 ° F), a pulse of 84 / min, a respiratory rate of 18 / min, and a blood pressure 145/80 mmHg. The airways are clear when listening. Examination of the heart shows an S4. There is an undiagnosed skin disease near the fingernails of the right big toe. A photograph of the wound is shown. The rest of the test showed no abnormalities. Which of the following is the most likely diagnosis?
A. Cholesterol embolism
B. Traumatic subungual hemorrhage
C. Malignant melanoma
D. Onychomycosis
E. Squamous cell carcinoma",1.43,15,0,1.025
US-00018,gpt-oss:120b,"A 26-year-old African-American woman came in for a 4-day history of an aproductive cough and chest pain. The pain is sharp and increases with deep breathing. During this period, he underwent himaturia twice. Over the past six months, he has experienced periodic pain, stiffness, and swelling in his fingers and left knee. She has had two miscarriages at the ages of 22 and 24. Her only medication is minocycline for acne vulgaris. It has a temperature of 38.1 ° C (100.6 ° F), a pulse rate of 75 per minute, and a blood pressure of 138/85 mmHg. A physical examination revealed a red rash on his face. There is light sensitivity in the metacarpophalangeal joint on both sides, but no hotness or reddening. Which of the following outcomes would most likely be seen in further evaluation of this patient?
A. Anti-histone antibodies
B. Low serum levels of C3 and C4
C. during prolonged bleeding.
D. Damage to the metacarpophalangeal joint
E. Bilateral enlargement of the hilar lymph node
F. Cytotoxic glomerular antibodies",1.43,10,0,1.008
US-00019,gpt-oss:120b,"A 5-month-old male baby has been brought to the doctor by his mother because he has been suffering from a generalized itchy rash for 2-weeks. The itching often wakes the baby at night. She was strictly breastfed until she was 4 months old, after which the formula was changed to milk. His father has a history of asthma. His vaccination was complete and on time. He is in the 75th percentile in terms of length and the 70th percentile in terms of weight. Tests showed dry and peeling patches over a wide area of the face and limbs. There is no change in the inguine part. Which of the following would be the most appropriate next step in management?
A. Local Coil Tar
B. Oral acyclovir
C. Oral vitamin A
D. Local mupirocin
E. Local clotrimazole
F. Tare-enriched shampoo
G. Local emollient",1.08,9,0,1.044
US-00020,gpt-oss:120b,"After 2 hours of left femoral artery embolectomy, an obese 63-year-old woman is experiencing severe pain, numbness, and tingling in the left leg. The surgery was performed without complications and the peripheral pulses were weakly palpable after the procedure. He has type 2 diabetes, peripheral artery disease, high blood pressure, and hypercholesterolemia. Her medications before admission included insulin, enalapril, carvedilol, aspirin, and rosuvastatin. He looks uncomfortable. Her temperature is 37.1 ° C (99.3 ° F), pulse is 98 per minute, and blood pressure is 132/90 mmHg. Examination shows a cut to the left cervical spine. The left lower limb is swollen, hard, and sensitive to touch. A dorsiflexion of his left leg caused severe pain in his calf. The femoral pulse is palpable on both sides. The pedal pulse on the left side is weaker than on the right side. The laboratory results show: Hemoglobin 12. 1 Leukocyte count 11,300 / cubic millimeter Platelet count 189,000 / cubic millimeter Serum glucose 222 mg / dl Creatinine 1.1 mg / deciliter Urinalysis is within normal limits. Which of the following is the most likely cause of this outcome?
A. Deep vein thrombosis
B. Reperfusion injury
C. rhabdomyolysis
D. Cholesterol embolism
E. Cellulitis",1.63,19,0,1.05
US-00021,gpt-oss:120b,"A 17-year-old boy has been brought in to the doctor for the past 3 months with progressive right knee pain. He reports that the pain is worse at night and when playing sports at school. There were no knee injuries or previous problems with his joints. His biographical indices are in the normal range. Examination of the right knee shows mild swelling and sensitivity, without heat or reddish discoloration; range of motion is limited. He walked into the Antalgic Gate. Laboratory tests showed alkaline phosphatase values of 180 units / liter and erythrocyte sedimentation rates of 80 mm / h. X-rays of the right knee are shown. Which of the following options is the most likely diagnosis?
A. Osteoclastoma
B. Ewing sarcoma
C. Cordoma
D. Osteochondroma
E. Chondrosarcoma
F. Osteosarcoma",1.28,9,0,1.031
US-00022,gpt-oss:120b,"A 17-year-old girl was brought to the doctor because she had amenorrhea for four months. Previously the seasons occurred at regular 28-day intervals and lasted 3 to 4 days. There is no family history of severe disease. He gets good grades in school and is on the high school track team. She is sexually active with a male partner and regularly uses condoms. His physique looks lean. Examination shows an enlargement of the bilateral parotid gland. The core of the body has fine fur. Serum research shows: Thyroid-stimulating hormone 3.7 μM / ml Prolactin 16 nanograms / milliliter Estradiol 23 picograms / milliliter (n > 40) Follicle-stimulating hormone 1.6 ml / ml Luteinizing hormone 2.8 ml / ml The result of a urine pregnancy test is negative. Which of the following is the most likely cause of this outcome?
A. The use of external steroids
B. Defective androgen receptor
C. Gonadal dysgenesis
D. Abnormal nerve cell migration
E. Hyperandrogenic anovulation
F. Nutritional deficiencies",1.11,16,0,1.077
US-00023,gpt-oss:120b,"A 21-year-old college student comes to the doctor with intermittent palpitations. He is not experiencing chest pain or shortness of breath. The symptoms started 2 days ago, the night she returned to her dormitory after a 4-hour-long bus ride from home. 1 day ago, he went to a party with friends. Since then, the palpitations have worsened and become more frequent. The patient smoked 5 cigarettes per day for the past 3 years. He drinks 4-6 alcoholic drinks with friends once or twice a week and occasionally uses marijuana. She is sexually active with her boyfriend and takes oral contraceptive pills. He doesn't look worried. His pulse is 100 / min and irregular, blood pressure 140/85 mmHg, and respiratory rate is 25 / min. Physical examination reveals fine tremors in both hands, hot extremities, and swollen lower legs. The sound of the breathing apparatus is clear to hear. An ECG is shown below. Which of the following is the best next step in management?
A. Measure the TSH level
B. Watch and wait
C. Give adenosine to the veins
D. Measure the D-dimer level
E. Give enoxaparin to the subcutaneous
F. send urine toxicology",1.45,14,0,0.983
US-00024,gpt-oss:120b,"A 20-year-old college student comes to the doctor because he is very sad for the last 3 weeks and has to cry constantly. 3 weeks ago, her boyfriend left her when they were together for 4 years. He has no appetite and has lost 2.3 kg (5.1 lb). She missed several classes because she couldn't stop crying or get out of bed. She always thinks about her ex-boyfriend. She said she experienced similar symptoms for about 2 months after the previous relationship ended. The patient is 158 cm (5 ft 2 in) tall and weighs 45 kg (100 lb); BMI is 18 kg / m2. Her temperature is 36.1 ° C (97 ° F), pulse is 65 per minute, and blood pressure is 110/60 mmHg. No abnormalities are seen on physical examination. He looks sad and cries easily when he checks his mental state. Which of the following is the most likely diagnosis?
A. Borderline personality disorder
B. grief
C. Adjustment disorder with depressive mood
D. Persistent depressive disorder
E. Major depressive disorder
F. Acute stress disorder
G. anorexia nervosa",1.14,11,0,0.967
US-00025,gpt-oss:120b,"A 16-year-old girl is brought to the doctor because her mother is concerned about her anorexia and lack of weight gain. He has lost 7 kg (15 lb) in the last 3 months. The patient says he needs to lose more weight because he doesn't want to be overweight anymore. She keeps a diary of her daily calorie intake. Menarche was 13 years old, and the last menstrual period was 3 months ago. He is on the high school track team. She is sexually active with two male partners and uses condoms infrequently. His height is in the 50th percentile and weight and BMI are below the 5th percentile. Its temperature is 37 ° C (98.6 ° F), pulse is 58 / min, and blood pressure is 96/60 mmHg. Examination reveals fine hair on the trunk and limbs. Which of the following is the most likely diagnosis?
A. HIV infection
B. Body dysmorphic disorder
C. Bulimia nervosa
D. Type 1 diabetes mellitus
E. Hyperthyroidism
F. obsessive compulsive disorder
G. anorexia nervosa",1.01,11,0,0.946
US-00026,gpt-oss:120b,"A 27-year-old woman came to the emergency department because she has had increasing insensitivity and weakness in her left arm and left leg for two days. He has also experienced urinary urgency and incontinence during this period. Three months ago, he had blurred vision, difficulty distinguishing colors, and a headache for a week, all of which healed. The patient smoked a half-pack of cigarettes every day for ten years and drank four glasses of wine each week. He has a temperature of 37 ° C (98.6 ° F), a pulse of 78 per minute, a respiratory rate of 14 per minute, and a blood pressure 110/68 mmHg. Tests showed 3 / 5 strength in the left arm and leg and 5 / 5 in the right side. When the throat is flexed, the patient receives a shooting electric sensation that descends along the spine. MRIs of the brain show gadolinium-enhancing lesions in the right central sulcus, cervical spinal cord, and optic nerve. Which of the following is the best next step in the management of this patient?
A. Dimethyl fumarate therapy
B. Interferon beta therapy
C. Give Lorazepam
D. Give intravenous methylprednisolone
E. Plasmapheresis
F. Provide tissue plasminogen activator
G. Glatiramer acetate therapy",1.38,9,0,1.01
US-00027,gpt-oss:120b,"A 35-year-old male was brought to the emergency department 30 minutes after being involved in a car crash. The patient was on his way to work when he lost control of the car and hit a tree. On arrival, the patient's condition appears weak and lethargic. He has abdominal pain. He has a temperature of 37 ° C (98.6 ° F), a pulse of 121 per minute, a respiratory rate of 22 per minute, and a blood pressure 85/60 mmHg. He is aware of the individual but not of space or time. The lungs are clear when listening. Cardiac examination shows tachycardia but no murmur, rubbing, or gallop. Examination of the abdomen shows a few bruises above the umbilicus; there is extensive abdominal sensitivity. Focused assessment (FAST) is done with trauma-related sonography but the results are inconclusive. In addition to intravenous fluid resuscitation, which of the following would be the most appropriate next step in the management of this patient?
A. Angiography and embolization
B. CT scan of the abdomen
C. exploratory laparotomy
D. Entering the nasogastric tube
E. Abdominal X-ray
F. Diagnostic peritoneal lavage",1.32,11,0,1.029
US-00028,gpt-oss:120b,"A 24-year-old male with chronic back pain who visited a physician to begin care after relocating to Florida. She complained of anxiety, nausea, abdominal cramping, vomiting, and diarrhea for three days. He said not to smoke, drink alcohol, and use illegal drugs. He looks restless. It has a temperature of 37 ° C (98.6 ° F), a pulse of 110 / min, and a blood pressure of 150/86 mmHg. Physical examination shows enlarged pupillae, sweating, and hair loss. Examination of his abdomen shows extensive light sensitivity. There is no rebound tenderness or guarding. The hemoglobin concentration is 14.5 grams per deciliter, the white blood cell count is 8,000 / mm, and the platelet count is 250,000 / mm; serum studies and urinalysis show no abnormalities. Which of the following is the best pharmacotherapy?
A. Lorazepam
B. Naltrexone
C. Methadone
D. Morphine
E. Naloxone",1.32,10,0,1.051
US-00029,gpt-oss:120b,"A 38-year-old woman comes to the doctor for a follow-up visit. He has a 2-year history of depressed mood and fatigue that is consistent with morning awakening. A week ago, he started to feel less need for sleep and now feels rested after about 5 hours of sleep a night. He got two similar episodes that happened 6 months ago and 1 year ago, respectively. He reported increased energy and sexual desire. He has lost 4 kg (8.8-পাউন্ড) in the last one month. She does not feel the need for food and says that her energy comes ""from the universe."" She enjoyed her work as a librarian. He started taking fluoxetine 3 months ago. In mental tests, he is alert and knows the direction of time and space; he is disturbed. He has no auditory or visual hallucinations. Physical examination does not show any abnormalities. Which of the following is the most likely diagnosis?
A. Drug-induced bilateral disorders
B. Bilateral diseases, including rapid cycling
C. delusional disorder
D. Schizoaffective disorder
E. Cyclothymic disorder",0.9,13,0,0.995
US-00030,gpt-oss:120b,"A 45-year-old woman visits the patient as she has been experiencing fatigue and excessive thirst for the past 2 weeks. During this period, he was unable to sleep through the night due to his frequent urge to urinate at night. He also urinates more than usual during the day. He drinks 4 to 5 litres of water and 1 to 2 beers every day. He has autosomal dominant polycystic kidney disease, hypertension (which is treated with lisinopril), and bipolar disorder. Therapy with valproic acid was started 3 months earlier after the manic episode. Life signs are within normal limits. Bilaterally irregular flank masses can be touched. The rest of the test does not show any abnormalities. Laboratory studies have shown that: Serum Sodium 152 milliequivalent / litre Potassium 4.1 milliequivalent / litre Chloride 100 milliequivalent / litre Bicarbonate 25 milliequivalent / litre Creatinine 1.8 mg / deciliter Osmolality 312 m - Osmol / kg Glucose 98 mg / dl Urinary osmolality 190 m-osmol / kg Urinary osmolality does not change after 3 hours, even without taking the solution or applying desmopressin. Which of the following would be the most appropriate next step in management?
A. metformin therapy
B. More water restrictions
C. Amiloride therapy
D. Chlorpropamide therapy
E. Stopping Valproic Acid
F. Starting a 3 percent saline infusion
G. Hydrochlorothiazide therapy
H. Desmopressin therapy",1.75,21,0,1.133
US-00031,gpt-oss:120b,"A 36-year-old woman comes to the doctor because she is having a hard time dropping things off at her house. She says that the storage of items in kitchens and dining rooms is making it extremely difficult to use these spaces regularly. His behavior began when he was in high school. She feels anxious when she tries to throw away her wealth, and her husband tries to clean and decorate the house. This behavior frustrates him because most of the things he stores have little emotional or financial value. She reported that despite attending Cognitive Behavioural Therapy sessions for the past 6 months, there was no improvement. Now he feels that his behaviour is'taking over'his life. He does not drink alcohol, smoke, or use illegal drugs. He is not taking any medication. He has a temperature of 36 ° C (96.8 ° F), a pulse of 90 / min, a respiratory rate of 12 / min, and a blood pressure 116/80 mmHg. In the mental state examination, he is calm, alert, and directed to the person, place, and time. Her mood is depressed; her language is organized, rational, and coherent; and there are no psychotic symptoms. Which of the following would be the best next step for management?
A. Atomoxetine
B. Fluoxetine
C. Lamotrigine
D. Baspirone
E. Methylphenidate",1.39,13,0,1.036
