item_id,translator,back_en,seconds
US-00011,gpt-oss:120b,"A 45-year-old woman is visiting the doctor due to exhaustion and irregular menstrual cycles for the past year. He also complained of recurrent sinus infections. He has had frequent urination and swelling of the legs in the last six months. For three weeks, he has been struggling to lift his 3-year-old niece. He was recently diagnosed with depression. He worked as a medical assistant. The patient smoked a half-pack of cigarettes daily for 25 years and drank four beers on weekends. His only medication is escitalopram. He is 160 cm (5 ft 3 in) tall and weighs 79 kg (175 lb); BMI is 31 kg / m2. He looks tired. Temperature 37 ° C (98.6 ° F), pulse 80 / min, respiration 18 / min, blood pressure 140/82 mmHg. Physical examination reveals thickening of the throat and swelling of the abdomen. There are multiple injury marks on the skin on the arms and legs. There is general weakness and atrophy of the proximal muscles. The results of the laboratory: Serum Na + 150 mEq / L K + 3.0 mEq / L Cl-103 mEq / L HCO3 - 30 mEq / L Urea Nitrogen 19 mg / dL Creatinine 0.9 mg / dL Glucose 136 mg / dL A 1 mg overnight dexamethasone suppression test found serum cortisol 167 nmol / L (N < 50) and 24-hour urine cortisol 425 μg (N < 300 μg). Serum ACTH is 169 pg / mL (N = 7-50). A later high-dose dexamethasone suppression trial found serum cortisol levels of 164 nmol / L (N < 50). Which of the following is the most likely underlying cause of the patient's symptoms?
A. Extrinsic corticosteroid intake
B. Pituitary adenoma
C. Adrenal carcinoma
D. Hypothyroidism
E. Pheochromocytoma
F. small cell lung cancer
G. Adrenal adenoma",2.9
US-00012,gpt-oss:120b,"The 24-year-old first pregnant woman, at 38 weeks gestation, came to the doctor for a pre-natal visit. Transabdominal ultrasound at the last two pre-natal visits showed the baby in the breech position. She has no medical issues and only takes pre-natal vitamins. His pulse is 95 / min, breathing 16 / min, blood pressure 130/76 mm Hg. The abdomen is soft and insensitive; no contractions are felt. Pelvic examination shows cervical dehydration and uterine prolapse consistent with 38 weeks gestation. Fetal heart rate tracing shows a baseline heart rate of 152 / min and 2 accelerated increases at 10 min. Today's repeat ultrasound also showed a consistent breech position. The patient said she wanted to try a vaginal delivery. Which of the following is the best next management step?
A. Suggest a Caesarean section
B. Monitor up to automatic delivery
C. Repeat the ultrasound in a week.
D. Suggest an external head replacement (external cephalic version)
E. Suggest an internal Podalic version",1.27
US-00013,gpt-oss:120b,"A 4-year-old boy was brought to the emergency department with a fever, swallowing pains, headaches, and a tight neck that began shortly after waking up. He had a sore throat last week that escalated sharply this morning. He has no history of serious illness and does not take any medication. He lives with his mother. The elder brother has asthma. Vaccination is complete. The patient appears to be seriously ill. Temperature 38.4 ° C, pulse 95 / min, respiration 33 / min, blood pressure 93/60 mmHg. On examination, it is found that the saliva is leaking. The neck is stiff and the extension is limited. Auxiliary muscles are used for breathing. Inspiratory striders can be heard when listening to the chest. There are no abnormalities in the examination of the heart. Oropharyngeal examination shows a raised area in the posterior pharyngeal wall. Veins have been inserted and lab tests ordered. Which of the following is the most appropriate next step in patient management?
A. Endotracheal intubation
B. Intravenous antibiotics
C. The Culture of Blood
D. Intravenous corticosteroids
E. CT scan of the neck
F. nebulized albuterol
G. X-ray of the lateral neck",1.5
US-00014,gpt-oss:120b,"An 8-year-old boy has been brought to the doctor because he has a history of a 7-day progressive cough. Coughing occurs in spells and there are approximately 5-10 coughs in a row. He takes deep, noisy breaths after each spell. Sometimes he vomits after coughing. He had a runny nose for a week before he started coughing. His vaccination records are not available. She lives in an apartment with her father, mother, and 2-week-old younger sister. The mother was given the Tdap vaccine 11 years ago. There is no vaccination record of the father. Its temperature is 37.8 ° C (100 ° F). No abnormalities were found in the test. Its leukocyte count is 42,000 / mm3. Throat swab culture and PCR results are awaited. Which of the following would be the most appropriate recommendation for this family?
A. Give oral azithromycin to the baby and father, and Tdap vaccination for the father.
B. Give oral erythromycin to the baby and father, and Tdap vaccination for the father.
C. Give oral azithromycin to all family members and Tdap vaccination for father and mother.
D. Give oral trimethoprim-sulfamethoxazole to all family members and Tdap vaccination for the father.
E. Give oral trimethoprim-sulfamethoxazole to all family members and Tdap vaccination for father and mother.
F. Give oral erythromycin to all family members and Tdap vaccination for father and mother.
G. Give oral erythromycin to all family members and Tdap vaccination for the father.
H. Give oral trimethoprim-sulfamethoxazole for father and baby (baby) and Tdap vaccine for father.
I. Give oral azithromycin to all family members and Tdap vaccination for the father.",2.13
US-00015,gpt-oss:120b,"Police brought a 23-year-old male to the emergency department with cognitive impairment and agitation after he suffered a head injury at a local nightclub. The patient refuses to answer questions and is severely agitated. There is a smell of alcohol. His physical examination: temperature 36.9 ° C, pulse 104 / min, respiration 24 / min, blood pressure 148/95 mmHg. He is confused and only knows the person's name. The nerve test shows myosis and nystagmus but stops quickly if the patient tries to attack some of the care team. A CT scan of the head is normal. Is the ingestion of any of the following substances likely to be the cause of the patient's symptoms?
A. Heroin
B. Alcohol
C. cannabis
D. Cocaine
E. Gamma-hydroxybutyric acid
F. Lysergic acid diethylamide
G. Methamphetamine
H. Phensiclidine",1.61
US-00016,gpt-oss:120b,"A 34-year-old AIDS patient comes to the doctor because his right eye has been losing vision and showing dark spots for the past two days. There is no pain and the left eye is normal. He had been treated with fluconazole for fungal esophagitis six months earlier. He was diagnosed with Kaposi's sarcoma two years ago. Current medications include efavirenz, tenofovir, emtricitabine, azithromycin, trimethoprim-sulfamethoxazole, multivitamins, and a nutritional supplement. He is 170 cm (5 ft 7 in) tall and weighs 45 kg (99 lb); with a body mass index of 15.6 kg / m2. Temperature 37 ° C (98.6 ° F), pulse 89 / min, blood pressure 110/70 mmHg. Examination reveals cervical lymphadenopathy. He has multiple purple plaques on his trunk and limbs. Fundoscopy examination shows granular-whiteish yellow opacities around the retinal vessels and areas of multiple dot-blot hemorrhages. His CD4 + T-lymphocyte count is 36 / m3. Which of the following is the most likely diagnosis?
A. Cytomegalovirus retinitis
B. Herpes simplex keratitis
C. Toxoplasma retinitis
D. HIV retinopathy
E. Varicella Zoster Retinitis",1.83
US-00017,gpt-oss:120b,"A 65-year-old Asian woman visits the doctor for a routine health maintenance exam. During questioning, he reported occasional night sweats over the past two months, but no fever or weight loss. He had an acute myocardial infarction (heart attack) seven months earlier and received treatment with percutaneous coronary intervention. He has hypertension, hyperlipidemia, and gastroesophageal reflux disease. He smoked a pack of cigarettes every day for 37 years. Current medications include aspirin, atorvastatin, ramipril, metoprolol, and esomeprazole. He is 178 cm (5 ft 10 in) tall and weighs 89 kg (207 lb); BMI is 29.70 kg / m2. Temperature 37.4 ° C (99.3 ° F), pulse 84 / min, respiration 18 / min, and blood pressure 145/80 mmHg. Lung sounds are normal; S4 sounds are found in the heart. There is a non-painful skin lesion near the right big toe, the photo of which is displayed. The rest of the test shows no discrepancy. Which of the following is the most likely diagnosis?
A. Cholesterol embolism
B. Bleeding under the affected nail
C. Malignant melanoma
D. Onychomyces (fungal infection of the nails)
E. Squamous cell carcinoma",1.43
US-00018,gpt-oss:120b,"A 26-year-old African-American woman visits a patient at the doctor's because she has been experiencing an aproductive cough and chest pain in the past 4 days. The pain is sharp and increases with deep breathing. During this period, he developed hematuria (blood in the urine) twice. Over the past 6 months, he has had periodic pain, stiffness, and swelling between his finger and left knee. She has had two miscarriages, aged 22 and 24. Her only medication is minocycline for acne vulgaris. It has a temperature of 38.1 ° C (100.6 ° F), a pulse of 75 / min, and a blood pressure 138/85 mm Hg. A physical examination revealed a red rash on his face. Both metacarpophalangeal joints have mild sensitivity but no hot or redness. What is the most likely outcome from further evaluation of this patient?
A. Anti-histone antibodies
B. Low levels of serum C3 and C4
C. Increased bleeding time
D. Damage to the metacarpophalangeal joint
E. Bilateral enlargement of the hilar lymph node
F. Cytotoxic glomerular antibodies",1.4
US-00019,gpt-oss:120b,"A 5-month-old male baby has been brought to the doctor by his mother because he has had a generalized itchy rash for two weeks. The child wakes up at night because of the itching. She was exclusively breastfed until formula was switched to milk at 4 months of age. His father has a history of asthma. Vaccinations have been updated. Height in the 75th percentile and weight in the 70th percentile. Tests show dry and scaly patches of extensors on the face and limbs. Green is preserved. Which of the following is the best next management step?
A. Local Coal Tar
B. Oral acyclovir
C. Oral vitamin A
D. Local mupirocin
E. Local clotrimazole
F. Tarred shampoo
G. Local emollient",1.12
US-00020,gpt-oss:120b,"Two hours after having a left femoral artery embolectomy, a 63-year-old obese woman is suffering in her left leg with severe pain, numbness, and tingling sensations. The surgery was without complications and the parietal pulse was weakly palpable after the procedure. He has type 2 diabetes mellitus, peripheral artery disease, hypertension, and hypercholesterolemia. He was taking insulin, enalapril, carvedilol, aspirin, and rosuvastatin before being admitted. He looks uncomfortable. Temperature 37.1 ° C (99.3 ° F), pulse 98 / min, blood pressure 132/90 mm Hg. Examination shows surgical incision of the left groin; the left lower limb is swollen, stiff, and sensitive to touch. Dorsiflex causes severe pain in the calf. The femoral pulse is palpable on both sides, but the pedal pulse is weaker on the left than on the right. Lab results: hemoglobin 12.1 g / dL, white blood cells 11,300 / mm3, platelets 189,000 / mm3; serum glucose 222 mg / dL, creatinine 1.1 mg / dL; urinalysis normal. Which of the following is the most likely cause of these symptoms?
A. Deep vein thrombosis
B. Reperfusion injury
C. rhabdomyolysis
D. Cholesterol embolism
E. Cellulitis",1.85
US-00021,gpt-oss:120b,"A 17-year-old boy has been brought in to the doctor with right knee pain that has been growing slowly over the past three months. He reports that the pain is worse at night and when playing sports at school. There is no history of any knee injury or any previous joint problems. His vital signs are within normal limits. Examination of the right knee shows mild swelling and sensitivity, but no hotness or redness; movement is limited. He goes to the analgesic gate. Experimental blood results show alkaline phosphatase 180 u / l and erythrocyte sedimentation rate of 80 mm / h. Below is an X-ray of the right knee. Which of the following is the most likely diagnosis?
A. Osteoclastoma
B. Ewing sarcoma
C. Cordoma
D. Osteochondroma
E. Chondrosarcoma
F. Osteosarcoma",1.1
US-00022,gpt-oss:120b,"A 17-year-old girl has been brought to the doctor with four months of amenorrhea (no menstrual periods). Previously, her menses were regular, occurring every 28 days and lasting 3 to 4 days. There is no family history of serious illness. He gets good grades in school and participates on the high school track team. She is sexually active with a single male partner and regularly uses condoms. His physique looks lean. Examination shows an enlargement of the bilateral parotid gland. The body has fine fur. Blood test results: thyroid-stimulating hormone 3.7 μU / mL, prolactin 16 ng / mL, estradiol 23 pg / mL (normal > 40), follicle-stimulating hormone 1.6 mIU / mL, luteinizing hormone 2.8 mIU / mL. Urine pregnancy test is negative. Which of the following is the most likely cause of this outcome?
A. The use of external steroids
B. Defects in the androgen receptor
C. Gonadal dysgenesis
D. Abnormal migration of nerve cells
E. Hyperandrogenic anovulation
F. Nutritional deficiencies",2.28
US-00023,gpt-oss:120b,"The 21-year-old college student came to the doctor with intermittent palpitations (heart rhythm abnormalities). He has no chest pain or shortness of breath. The symptoms began two days ago, when he returned to the dormitory after a four-hour bus ride from home. The day before, he had gone to a party with friends. Since then, palpitations have increased and become more frequent. The patient smoked five cigarettes per day for the past three years. He drinks four to six glasses of alcohol with friends once or twice a week and occasionally uses marijuana. She is sexually active with a boyfriend and is taking oral contraceptives. He doesn't look worried. Its pulse is 100 per minute, irregular; blood pressure 140/85 mm Hg; respiration is 25 per minute. Physical examination reveals subtle tremors in both hands, hot limbs, and swollen lower legs. The respiratory tract is clear when listening. Below is the ECG (electrocardiogram). Which of the following is the most appropriate next management step?
A. Measure T-S-H (thyroid stimulating hormone) levels
B. Watch and wait
C. Give intravenous adenosine
D. Measure the D-dimer level
E. Give subcutaneous (under the skin) enoxaparin.
F. send urine toxicology test",1.53
US-00024,gpt-oss:120b,"A 20-year-old college student has come to the doctor because he has been extremely sad and constantly crying for the past three weeks. Three weeks ago, her boyfriend left her after a four-year relationship. He has no appetite and has lost 2.3 kg (5.1 lb). She missed a few classes because she couldn't stop crying or get out of bed. She always thinks about her ex-boyfriend. She says she experienced similar symptoms for about two months, even after the previous relationship ended. The patient is 158 cm (5 ft 2 in) tall and weighs 45 kg (100 lb); BMI is 18 kg / m2. Its temperature is 36.1 ° C (97 ° F), pulse 65 / min, blood pressure 110/60 mm Hg. A physical examination revealed no abnormalities. Psychiatric tests show he is sad and cries easily. Which of the following is the most likely diagnosis?
A. Borderline personality disorder
B. sad state of affairs
C. Adjustment disorder with depressive mood
D. Chronic depressive disorder
E. Severe depressive disorder
F. Sudden Stress Disorder
G. anorexia nervosa",1.71
US-00025,gpt-oss:120b,"A 16-year-old girl is brought to the doctor because her mother is concerned about her anorexia and lack of weight gain. He has lost 7 kg (15 lb) in the last 3 months. The patient says he needs to lose more weight because he doesn't want to be overweight anymore. She keeps a diary of her daily calorie intake. Menarch was 13 years old, and the last menstrual period was 3 months ago. He participated on the high school track team. She is sexually active with two male partners and uses condoms infrequently. Her height is in the 50th percentile and her weight and BMI are below the 5th percentile. He has a temperature of 37 ° C (98.6 ° F), a pulse of 58 / min, and a blood pressure 96/60 mm Hg. Examination reveals fine fur on the trunk and limbs. Which of the following is the most likely diagnosis?
A. HIV infection
B. Disorders related to deformities of the body
C. Bulimia nervosa
D. Type 1 diabetes mellitus
E. Hyperthyroidism
F. Obsessive-compulsive disorder
G. anorexia nervosa",1.18
US-00026,gpt-oss:120b,"A 27-year-old woman came to the emergency department because of increasing insensitivity and weakness in her left arm and left leg over the past two days. He is also experiencing a strong urge to urinate and incessant urination during this period. Three months ago, he had blurred vision, difficulty distinguishing colors, and headaches for a week, which have now healed. The patient smoked a half-pack of cigarettes every day for 10 years and drank four glasses of wine each week. Its temperature is 37 ° C (98.6 ° F), pulse 78 / min, respiration 14 / min, blood pressure 110/68 mm Hg. The test shows 3 / 5 strength in the left arm and leg and 5 / 5 in the right side. While bending the neck, the patient feels a lightning shot going down along his spine. MRIs of the brain show gadolinium-enhancing lesions in the right central sulcus, cervical spinal cord, and optic nerve. Which of the following is the best next step in the management of this patient?
A. Dimethyl fumarate therapy
B. Interferon beta therapy
C. Give Lorazepam
D. IV Give methylprednisolone
E. Plasmapheresis
F. Provide tissue plasminogen activator
G. Glatiramer acetate therapy",1.29
US-00027,gpt-oss:120b,"A 35-year-old male was brought to the emergency department after a car accident. The patient was on his way to work when he lost control of the car and hit a tree. On arrival, the patient appears weak and lethargic, with abdominal pain. Its temperature is 37 ° C (98.6 ° F), pulse 121 / min, respiration 22 / min, blood pressure 85/60 mm Hg. He is conscious of the individual but not of space or time. There are no abnormal sounds in the lungs; cardiac examination shows tachycardia but no murmur, rubbing, or gallops. The abdominal examination consists of a few bruises above the navel and a wide range of sensitivities. Focused ultrasound (FAST) of the trauma has been performed but the results are uncertain. In addition to vein-based fluid resuscitation, which of the following is the best next step in the management of this patient?
A. Angiography and embolization
B. CT scan of the abdomen
C. exploratory laparotomy
D. insertion of the nasogastric tube
E. Abdominal X-ray
F. Diagnostic peritoneal lavage",1.17
US-00028,gpt-oss:120b,"A 24-year-old male, who has been experiencing chronic back pain, visits a physician for care after relocating to Florida. He complained of anxiety, nausea, abdominal cramping, vomiting, and diarrhea for three days. He said not to smoke, drink and use illegal drugs. He looks restless. It has a temperature of 37 ° C (98.6 ° F), a pulse of 110 / min, and a blood pressure 150/86 mm Hg. Physical examination shows enlarged pupils, sweating, and hair loss. Abdominal examination shows extensive light sensitivity; no rebound tenderness or guarding. He has a hemoglobin of 14.5 g / dL, a white blood cell count of 8,000 / mm3, and a platelet count of 250,000 / mm3; serum tests and urinalysis show no abnormalities. Which of the following is the most appropriate pharmacotherapy?
A. Lorazepam
B. Naltrexone
C. Methadone
D. Morphine
E. Naloxone",1.44
US-00029,gpt-oss:120b,"A 38-year-old woman visits the doctor for a follow-up visit. He has two years of chronic depressed mood and fatigue, which is associated with waking up early in the morning. A week ago, he started to need less sleep and now feels rested after about 5 hours of sleep a night. Two similar episodes occurred six months and a year ago. He reported increased energy and sexual desire. He lost 4kg (8.8lb) in the last month. She does not feel the need for food and says her energy comes ""from the world."" She enjoyed working as a librarian. He started taking fluoxetine three months ago. In psychic tests, he is alert and aware of time and space; but irritable. There is no audible or visible hallucination. Physical examination is normal. Which of the following is the most likely diagnosis?
A. Drug-induced bipolar disorder
B. Bipolar disorder with rapid cycling
C. Mayabic disorder
D. Schizoaffective disorder
E. Cyclothymic disorder",0.93
US-00030,gpt-oss:120b,"A 45-year-old woman came to the doctor complaining of fatigue and excessive thirst for two weeks. During this period, he is unable to sleep through the night due to frequent urge to urinate. He also urinates more often than usual during the day. He drinks 4 to 5 litres of water and 1 to 2 beers every day. He has autosomal dominant polycystic kidney disease, hypertension controlled with lisinopril, and bipolar disorder. Valproic acid therapy was started three months ago after a manic episode. Biological signs are within normal limits. Irregular flank knots are found on both flanks. The rest of the physical exam shows no abnormalities. The results of the laboratory: Serum Na + 152 mEq / L K + 4.1 mEq / L Cl - 100 mEq / L HCO3 - 25 mEq / L Creatinine 1.8 mg / dL Asymmetry 312 mOsmol / kg Glucose 98 mg / dL Urinary incontinence of 190 mOsmol / kg Urinary incontinence does not change after 3 hours, even when no fluid is taken or desmopressin is given. Which of the following is the best next step for management?
A. metformin therapy
B. Additional water restrictions
C. Amiloride therapy
D. Chlorpropamide therapy
E. Stopping Valproic Acid
F. Starting a 3 percent saline infusion
G. Hydrochlorothiazide therapy
H. Desmopressin therapy",1.8
US-00031,gpt-oss:120b,"A 36-year-old woman came to the doctor because she was having trouble throwing things away at her house. She says that the storage of items in kitchens and dining rooms is making their regular use extremely difficult. This behavior dates back to his high school days. She feels anxious when she tries to throw away her wealth, and her husband tries to clean and decorate the house. This behavior annoys him as most of the stored items have no sentimental or monetary value. There was no improvement despite attending Cognitive Behavioural Therapy sessions for the past 6 months. Now she feels that her behaviour has ""taken over her life."" He does not drink, smoke, or use illegal drugs. He is not taking any medication. His temperature was 36 ° C (96.8 ° F), pulse 90 / min, respiration 12 / min, and blood pressure 116/80 mm Hg. On examination of mental states, he is calm, alert, and aware of persons, places, and times. His mood is sad; the language is organized, rational, and coherent; there are no psychotic symptoms. Which of the following would be the best next step in management?
A. Atomoxetine
B. Fluoxetine
C. Lamotrigine
D. Buspirone
E. Methylphenidate",1.38
US-00032,gpt-oss:120b,"A 14-year-old boy has been brought to the doctor for three days with fever, discomfort, and severe right knee pain and swelling. There were also cases of abdominal pain and nosebleeds during this time. Five days ago, he had swelling and pain in his left ankle, which has now healed. He reported having a sore throat while camping in the woods three weeks ago, for which he received symptomatic treatment. His vaccination is fully updated. Temperature 38.7 ° C (101.6 ° F), pulse 119 / min, and blood pressure 90/60 mmHg. On examination, the right knee appears swollen and painful to the touch, with limited range of motion; there are painless 3-4 mm nodules on the elbow. Heart and lung examinations are normal. Hemoglobin is 12.3 g / dL, white blood cell count is 11,800 / mm3, and ERS is 58 mm / h. Arthrocentesis of the right knee yielded clear, straw-colored fluid; no microbes were seen in Gram stain. In synovial fluid analysis, the white blood cell count is 1,350 / mm3 and the percentage of neutrophils is 17. Which of the following is the most likely diagnosis?
A. Acute rheumatic fever
B. Septic arthritis
C. Acute lymphoblastic leukemia
D. Infectious endocarditis
E. Lyme disease
F. Kawasaki disease
G. Arthritis of unknown cause in adolescence",1.68
