row_id,item_id,translator,part
R0066,US-00083,gpt-oss:120b,random
R0067,US-00276,gpt-oss:120b,random
R0068,US-00491,gpt-oss:120b,random
R0069,US-00102,gpt-oss:120b,random
R0070,US-00124,gpt-oss:120b,targeted_disagree
R0071,US-00006,gpt-oss:120b,random
R0072,US-00212,gpt-oss:120b,targeted_disagree
R0073,US-00154,gpt-oss:120b,random
R0074,US-00303,gpt-oss:120b,random
R0075,US-00483,gpt-oss:120b,targeted_worst
R0076,US-00335,gpt-oss:120b,random
R0077,US-00221,gpt-oss:120b,random
R0078,US-00465,gpt-oss:120b,random
R0079,US-00019,gpt-oss:120b,random
R0080,US-00187,gpt-oss:120b,targeted_disagree
R0081,US-00125,gpt-oss:120b,random
R0082,US-00226,gpt-oss:120b,random
R0083,US-00230,gpt-oss:120b,random
R0084,US-00025,gpt-oss:120b,random
R0085,US-00024,gpt-oss:120b,random
R0086,US-00003,gpt-oss:120b,random
R0087,US-00138,gpt-oss:120b,random
R0088,US-00149,gpt-oss:120b,random
R0089,US-00023,gpt-oss:120b,random
R0090,US-00028,gpt-oss:120b,targeted_disagree
R0091,US-00204,gpt-oss:120b,random
R0092,US-00479,gpt-oss:120b,random
R0093,US-00046,gpt-oss:120b,random
R0094,US-00057,gpt-oss:120b,random
R0095,US-00247,gpt-oss:120b,targeted_worst
R0096,US-00091,gpt-oss:120b,random
R0097,US-00484,gpt-oss:120b,random
R0098,US-00188,gpt-oss:120b,targeted_disagree
R0099,US-00155,gpt-oss:120b,random
R0100,US-00451,gpt-oss:120b,random
R0101,US-00396,gpt-oss:120b,targeted_worst
R0102,US-00238,gpt-oss:120b,random
R0103,US-00069,gpt-oss:120b,random
R0104,US-00454,gpt-oss:120b,targeted_disagree
R0105,US-00332,gpt-oss:120b,random
R0106,US-00322,gpt-oss:120b,random
R0107,US-00058,gpt-oss:120b,random
R0108,US-00326,gpt-oss:120b,random
R0109,US-00136,gpt-oss:120b,targeted_disagree
R0110,US-00018,gpt-oss:120b,random
R0111,US-00283,gpt-oss:120b,targeted_disagree
R0112,US-00418,gpt-oss:120b,random
R0113,US-00333,gpt-oss:120b,random
R0114,US-00085,gpt-oss:120b,random
R0115,US-00240,gpt-oss:120b,targeted_worst
R0116,US-00476,gpt-oss:120b,random
R0117,US-00017,gpt-oss:120b,random
R0118,US-00256,gpt-oss:120b,random
R0119,US-00114,gpt-oss:120b,random
R0120,US-00290,gpt-oss:120b,random
R0121,US-00486,gpt-oss:120b,random
R0122,US-00079,gpt-oss:120b,random
R0123,US-00010,gpt-oss:120b,random
R0124,US-00132,gpt-oss:120b,random
R0125,US-00233,gpt-oss:120b,targeted_worst
R0126,US-00313,gpt-oss:120b,random
R0127,US-00269,gpt-oss:120b,random
R0128,US-00471,gpt-oss:120b,random
R0129,US-00118,gpt-oss:120b,random
R0130,US-00348,gpt-oss:120b,random
R0131,US-00016,gpt-oss:120b,random
R0132,US-00441,gpt-oss:120b,random
R0133,US-00439,gpt-oss:120b,random
R0134,US-00278,gpt-oss:120b,random
R0135,US-00408,gpt-oss:120b,targeted_disagree
R0136,US-00258,gpt-oss:120b,targeted_worst
R0137,US-00094,gpt-oss:120b,random
R0138,US-00062,gpt-oss:120b,targeted_disagree
R0139,US-00117,gpt-oss:120b,random
R0140,US-00494,gpt-oss:120b,random
R0141,US-00434,gpt-oss:120b,random
R0142,US-00342,gpt-oss:120b,targeted_worst
R0143,US-00031,gpt-oss:120b,random
R0144,US-00357,gpt-oss:120b,random
R0145,US-00076,gpt-oss:120b,random
R0146,US-00272,gpt-oss:120b,random
R0147,US-00473,gpt-oss:120b,random
R0148,US-00267,gpt-oss:120b,random
R0149,US-00386,gpt-oss:120b,random
R0150,US-00077,gpt-oss:120b,random
R0151,US-00406,gpt-oss:120b,random
R0152,US-00480,gpt-oss:120b,random
R0153,US-00262,gpt-oss:120b,random
R0154,US-00071,gpt-oss:120b,random
R0155,US-00127,gpt-oss:120b,random
R0156,US-00087,gpt-oss:120b,random
R0157,US-00064,gpt-oss:120b,random
R0158,US-00020,gpt-oss:120b,random
R0159,US-00134,gpt-oss:120b,targeted_disagree
R0160,US-00421,gpt-oss:120b,targeted_disagree
R0161,US-00344,gpt-oss:120b,random
R0162,US-00021,gpt-oss:120b,targeted_disagree
R0163,US-00288,gpt-oss:120b,random
R0164,US-00259,gpt-oss:120b,targeted_worst
R0165,US-00432,gpt-oss:120b,random
R0166,US-00218,gpt-oss:120b,targeted_disagree
R0167,US-00196,gpt-oss:120b,random
R0168,US-00074,gpt-oss:120b,random
R0169,US-00133,gpt-oss:120b,random
R0170,US-00315,gpt-oss:120b,targeted_worst
R0171,US-00405,gpt-oss:120b,random
R0172,US-00410,gpt-oss:120b,random
R0173,US-00378,gpt-oss:120b,random
R0174,US-00365,gpt-oss:120b,targeted_disagree
R0175,US-00316,gpt-oss:120b,targeted_worst
R0176,US-00266,gpt-oss:120b,random
R0177,US-00235,gpt-oss:120b,random
R0178,US-00328,gpt-oss:120b,targeted_disagree
R0179,US-00251,gpt-oss:120b,targeted_worst
R0180,US-00275,gpt-oss:120b,random
R0181,US-00219,gpt-oss:120b,random
R0182,US-00363,gpt-oss:120b,random
R0183,US-00073,gpt-oss:120b,random
R0184,US-00056,gpt-oss:120b,random
R0185,US-00323,gpt-oss:120b,random
R0186,US-00026,gpt-oss:120b,random
R0187,US-00229,gpt-oss:120b,targeted_worst
R0188,US-00495,gpt-oss:120b,random
R0189,US-00095,gpt-oss:120b,random
R0190,US-00162,gpt-oss:120b,targeted_worst
R0191,US-00372,gpt-oss:120b,random
R0192,US-00145,gpt-oss:120b,targeted_disagree
R0193,US-00080,gpt-oss:120b,random
R0194,US-00496,gpt-oss:120b,random
R0195,US-00452,gpt-oss:120b,random
R0196,US-00492,gpt-oss:120b,random
R0197,US-00412,gpt-oss:120b,targeted_disagree
R0198,US-00156,gpt-oss:120b,random
R0199,US-00078,gpt-oss:120b,random
R0200,US-00301,gpt-oss:120b,targeted_worst
